Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,518.650024,737.299988,518.650024,703.549988,696.195190,378905
2016-04-01,709.000000,779.700012,698.000000,750.900024,743.050232,131523
2016-05-01,743.000000,903.900024,675.250000,801.000000,792.626465,845762
2016-06-01,800.000000,908.799988,775.000000,864.450012,855.413147,708202
2016-07-01,872.150024,1044.000000,865.000000,915.500000,905.929504,909421
2016-08-01,915.599976,1080.000000,855.099976,983.650024,973.367126,801877
2016-09-01,983.750000,1050.000000,962.500000,973.900024,965.897583,358190
2016-10-01,977.000000,1015.950012,930.299988,988.200012,980.080078,241451
2016-11-01,999.950012,1045.550049,918.950012,1017.349976,1008.990479,553122
2016-12-01,1017.349976,1055.000000,961.000000,1032.300049,1023.817688,196533
2017-01-01,1040.000000,1040.000000,891.400024,899.900024,892.505615,159505
2017-02-01,924.000000,976.549988,881.299988,913.299988,905.795471,212153
2017-03-01,914.950012,1557.349976,914.950012,1495.000000,1482.715698,2756132
2017-04-01,1502.000000,1727.000000,1235.599976,1398.699951,1387.206909,1381865
2017-05-01,1398.699951,1496.550049,1305.000000,1369.400024,1358.147705,634076
2017-06-01,1350.250000,1453.849976,1333.000000,1416.800049,1405.158325,330907
2017-07-01,1410.800049,1547.599976,1288.050049,1438.699951,1426.878174,451674
2017-08-01,1455.000000,1468.900024,1192.000000,1270.349976,1259.911621,281242
2017-09-01,1264.000000,1290.349976,963.349976,981.799988,973.732666,664977
2017-10-01,981.799988,1199.000000,960.000000,1102.599976,1093.539917,730920
2017-11-01,1108.550049,1304.000000,961.000000,969.150024,961.186584,850391
2017-12-01,971.000000,990.049988,849.950012,892.849976,885.513489,576459
2018-01-01,908.000000,915.000000,829.200012,837.400024,830.519104,811680
2018-02-01,839.000000,848.849976,668.000000,719.900024,713.984619,417672
2018-03-01,715.400024,749.000000,674.000000,710.700012,704.860229,269871
2018-04-01,718.950012,786.000000,696.450012,710.299988,704.463440,289942
2018-05-01,710.299988,829.299988,691.099976,707.900024,702.083313,478099
2018-06-01,711.549988,745.000000,630.000000,640.400024,635.137878,163419
2018-07-01,640.000000,725.000000,550.500000,691.299988,685.619629,164319
2018-08-01,701.849976,800.000000,651.000000,779.750000,773.342834,525351
2018-09-01,780.000000,821.000000,675.000000,686.299988,680.660706,152554
2018-10-01,686.349976,694.650024,549.099976,569.599976,564.919617,152971
2018-11-01,580.000000,594.700012,475.200012,479.250000,475.312012,514343
2018-12-01,478.000000,485.899994,425.000000,458.350006,454.583771,153657
2019-01-01,458.899994,581.400024,458.100006,532.500000,528.124512,162668
2019-02-01,532.500000,827.299988,473.600006,762.750000,756.482605,2055614
2019-03-01,760.200012,777.599976,601.200012,676.799988,671.238770,610548
2019-04-01,682.700012,751.750000,620.849976,706.700012,700.893127,628041
2019-05-01,706.700012,737.000000,573.049988,598.549988,593.631714,426920
2019-06-01,590.900024,617.900024,492.200012,527.599976,523.264709,174717
2019-07-01,537.000000,662.000000,477.149994,495.750000,492.776306,400951
2019-08-01,493.549988,530.000000,441.000000,460.600006,457.837158,385628
2019-09-01,460.600006,533.950012,460.600006,503.049988,500.032501,629719
2019-10-01,509.450012,518.599976,460.149994,492.200012,489.247620,200553
2019-11-01,494.000000,539.900024,451.600006,454.049988,451.326447,544686
2019-12-01,458.500000,458.500000,380.250000,418.149994,415.641785,663473
2020-01-01,424.450012,499.950012,409.000000,426.149994,423.593781,709272
2020-02-01,429.000000,519.700012,411.149994,412.850006,410.373596,607550
2020-03-01,415.399994,430.049988,245.750000,282.950012,282.472961,476956
2020-04-01,289.899994,503.399994,265.000000,445.000000,444.249725,1017491
2020-05-01,445.000000,459.850006,377.000000,390.250000,389.592041,694969
2020-06-01,399.850006,604.700012,385.049988,576.450012,575.478149,3910409
2020-07-01,581.700012,794.900024,509.649994,781.049988,779.733154,4125354
2020-08-01,780.000000,1144.800049,765.000000,899.099976,897.584106,7097736
2020-09-01,899.099976,1201.500000,875.000000,1147.699951,1145.765015,3362386
2020-10-01,1180.000000,1312.150024,1083.050049,1197.199951,1195.181519,2294369
2020-11-01,1183.699951,1335.000000,981.700012,1031.300049,1029.561279,2684613
2020-12-01,1040.949951,1198.000000,977.400024,1095.300049,1095.300049,2281346
2021-01-01,1099.900024,1464.949951,1080.000000,1289.250000,1289.250000,3158144
2021-02-01,1291.000000,2350.000000,1264.250000,2026.000000,2026.000000,3639114
2021-03-01,2088.000000,2149.399902,1865.250000,2089.199951,2089.199951,965642
